Sequence  | Length  | TermCode            | Uri                                                                   | Data
10        | 24      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[8u](n256,8u)             | c5 f8 77 66 90 41 0f b6 c0 c5 f9 6e c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3
11        | 24      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[8i](n256,8i)             | c5 f8 77 66 90 49 0f be c0 c5 f9 6e c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3
12        | 24      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[16u](n256,16u)           | c5 f8 77 66 90 41 0f b7 c0 c5 f9 6e c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3
13        | 24      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[16i](n256,16i)           | c5 f8 77 66 90 49 0f bf c0 c5 f9 6e c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3
14        | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[32u](n256,32u)           | c5 f8 77 66 90 c4 c1 79 6e c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3
15        | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[32i](n256,32i)           | c5 f8 77 66 90 c4 c1 79 6e c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3
16        | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[64u](n256,64u)           | c5 f8 77 66 90 c4 c1 f9 6e c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3
17        | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[64i](n256,64i)           | c5 f8 77 66 90 c4 c1 f9 6e c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3
18        | 16      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[32f](n256,32f)           | c5 f8 77 66 90 c5 fd 11 11 48 8b c1 c5 f8 77 c3
19        | 16      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[64f](n256,64f)           | c5 f8 77 66 90 c5 fd 11 11 48 8b c1 c5 f8 77 c3
20        | 37      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[8u](n128,8u)       | 50 c5 f8 77 90 41 0f b6 c0 88 44 24 04 48 8d 44 24 04 c4 e2 79 78 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
21        | 37      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[8i](n128,8i)       | 50 c5 f8 77 90 49 0f be c0 88 44 24 04 48 8d 44 24 04 c4 e2 79 78 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
22        | 38      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[16u](n128,16u)     | 50 c5 f8 77 90 41 0f b7 c0 66 89 44 24 04 48 8d 44 24 04 c4 e2 79 79 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
23        | 38      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[16i](n128,16i)     | 50 c5 f8 77 90 49 0f bf c0 66 89 44 24 04 48 8d 44 24 04 c4 e2 79 79 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
24        | 34      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[32u](n128,32u)     | 50 c5 f8 77 90 44 89 44 24 04 48 8d 44 24 04 c4 e2 79 58 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
25        | 34      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[32i](n128,32i)     | 50 c5 f8 77 90 44 89 44 24 04 48 8d 44 24 04 c4 e2 79 58 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
26        | 31      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[64u](n128,64u)     | 50 c5 f8 77 90 4c 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
27        | 31      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[64i](n128,64i)     | 50 c5 f8 77 90 4c 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
28        | 30      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[32f](n128,32f)     | 50 c5 f8 77 90 c5 fa 11 54 24 04 c4 e2 79 18 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
29        | 17      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[64f](n128,64f)     | c5 f8 77 66 90 c5 fb 12 c2 c5 f9 11 01 48 8b c1 c3
30        | 40      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[8u](n256,8u)       | 50 c5 f8 77 90 41 0f b6 c0 88 44 24 04 48 8d 44 24 04 c4 e2 7d 78 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
31        | 40      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[8i](n256,8i)       | 50 c5 f8 77 90 49 0f be c0 88 44 24 04 48 8d 44 24 04 c4 e2 7d 78 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
32        | 41      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[16u](n256,16u)     | 50 c5 f8 77 90 41 0f b7 c0 66 89 44 24 04 48 8d 44 24 04 c4 e2 7d 79 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
33        | 41      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[16i](n256,16i)     | 50 c5 f8 77 90 49 0f bf c0 66 89 44 24 04 48 8d 44 24 04 c4 e2 7d 79 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
34        | 37      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[32u](n256,32u)     | 50 c5 f8 77 90 44 89 44 24 04 48 8d 44 24 04 c4 e2 7d 58 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
35        | 37      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[32i](n256,32i)     | 50 c5 f8 77 90 44 89 44 24 04 48 8d 44 24 04 c4 e2 7d 58 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
36        | 34      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[64u](n256,64u)     | 50 c5 f8 77 90 4c 89 04 24 48 8d 04 24 c4 e2 7d 59 04 24 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
37        | 34      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[64i](n256,64i)     | 50 c5 f8 77 90 4c 89 04 24 48 8d 04 24 c4 e2 7d 59 04 24 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
38        | 33      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[32f](n256,32f)     | 50 c5 f8 77 90 c5 fa 11 54 24 04 c4 e2 7d 18 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
39        | 31      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[64f](n256,64f)     | 50 c5 f8 77 90 c5 fb 11 14 24 c4 e2 7d 19 04 24 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
40        | 60      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[8u](n512,8u)       | 50 c5 f8 77 90 41 0f b6 c0 8b d0 88 54 24 04 48 8d 54 24 04 c4 e2 7d 78 44 24 04 88 04 24 48 8d 04 24 c4 e2 7d 78 0c 24 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 08 c3
41        | 60      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[8i](n512,8i)       | 50 c5 f8 77 90 49 0f be c0 8b d0 88 54 24 04 48 8d 54 24 04 c4 e2 7d 78 44 24 04 88 04 24 48 8d 04 24 c4 e2 7d 78 0c 24 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 08 c3
42        | 62      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[16u](n512,16u)     | 50 c5 f8 77 90 41 0f b7 c0 8b d0 66 89 54 24 04 48 8d 54 24 04 c4 e2 7d 79 44 24 04 66 89 04 24 48 8d 04 24 c4 e2 7d 79 0c 24 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 08 c3
43        | 62      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[16i](n512,16i)     | 50 c5 f8 77 90 49 0f bf c0 8b d0 66 89 54 24 04 48 8d 54 24 04 c4 e2 7d 79 44 24 04 66 89 04 24 48 8d 04 24 c4 e2 7d 79 0c 24 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 08 c3
44        | 56      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[32u](n512,32u)     | 50 c5 f8 77 90 44 89 44 24 04 48 8d 44 24 04 c4 e2 7d 58 44 24 04 44 89 04 24 48 8d 04 24 c4 e2 7d 58 0c 24 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 08 c3
45        | 56      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[32i](n512,32i)     | 50 c5 f8 77 90 44 89 44 24 04 48 8d 44 24 04 c4 e2 7d 58 44 24 04 44 89 04 24 48 8d 04 24 c4 e2 7d 58 0c 24 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 08 c3
46        | 61      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[64u](n512,64u)     | 48 83 ec 18 c5 f8 77 4c 89 44 24 10 48 8d 44 24 10 c4 e2 7d 59 44 24 10 4c 89 44 24 08 48 8d 44 24 08 c4 e2 7d 59 4c 24 08 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 18 c3
47        | 61      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[64i](n512,64i)     | 48 83 ec 18 c5 f8 77 4c 89 44 24 10 48 8d 44 24 10 c4 e2 7d 59 44 24 10 4c 89 44 24 08 48 8d 44 24 08 c4 e2 7d 59 4c 24 08 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 18 c3
48        | 49      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[32f](n512,32f)     | 50 c5 f8 77 90 c5 fa 11 54 24 04 c4 e2 7d 18 44 24 04 c5 fa 11 14 24 c4 e2 7d 18 0c 24 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 08 c3
49        | 53      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vbroadcast#vbroadcast_g[64f](n512,64f)     | 48 83 ec 18 c5 f8 77 c5 fb 11 54 24 10 c4 e2 7d 19 44 24 10 c5 fb 11 54 24 08 c4 e2 7d 19 4c 24 08 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 18 c3
50        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[8u](v256x8u)               | 0f 1f 44 00 00 b8 20 00 00 00 c3
51        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[8i](v256x8i)               | 0f 1f 44 00 00 b8 20 00 00 00 c3
52        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[16u](v256x16u)             | 0f 1f 44 00 00 b8 10 00 00 00 c3
53        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[16i](v256x16i)             | 0f 1f 44 00 00 b8 10 00 00 00 c3
54        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32u](v256x32u)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
55        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32i](v256x32i)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
56        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64u](v256x64u)             | 0f 1f 44 00 00 b8 04 00 00 00 c3
57        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64i](v256x64i)             | 0f 1f 44 00 00 b8 04 00 00 00 c3
58        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32f](v256x32f)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
59        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64f](v256x64f)             | 0f 1f 44 00 00 b8 04 00 00 00 c3
60        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[8u](v512x8u)               | 0f 1f 44 00 00 b8 40 00 00 00 c3
61        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[8i](v512x8i)               | 0f 1f 44 00 00 b8 40 00 00 00 c3
62        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[16u](v512x16u)             | 0f 1f 44 00 00 b8 20 00 00 00 c3
63        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[16i](v512x16i)             | 0f 1f 44 00 00 b8 20 00 00 00 c3
64        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32u](v512x32u)             | 0f 1f 44 00 00 b8 10 00 00 00 c3
65        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32i](v512x32i)             | 0f 1f 44 00 00 b8 10 00 00 00 c3
66        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64u](v512x64u)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
67        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64i](v512x64i)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
68        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32f](v512x32f)             | 0f 1f 44 00 00 b8 10 00 00 00 c3
69        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64f](v512x64f)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
70        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[8u](n128,8u)               | 0f 1f 44 00 00 b8 10 00 00 00 c3
71        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[8i](n128,8i)               | 0f 1f 44 00 00 b8 10 00 00 00 c3
72        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[16u](n128,16u)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
73        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[16i](n128,16i)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
74        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32u](n128,32u)             | 0f 1f 44 00 00 b8 04 00 00 00 c3
75        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32i](n128,32i)             | 0f 1f 44 00 00 b8 04 00 00 00 c3
76        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64u](n128,64u)             | 0f 1f 44 00 00 b8 02 00 00 00 c3
77        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64i](n128,64i)             | 0f 1f 44 00 00 b8 02 00 00 00 c3
78        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32f](n128,32f)             | 0f 1f 44 00 00 b8 04 00 00 00 c3
79        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64f](n128,64f)             | 0f 1f 44 00 00 b8 02 00 00 00 c3
80        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[8u](n256,8u)               | 0f 1f 44 00 00 b8 20 00 00 00 c3
81        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[8i](n256,8i)               | 0f 1f 44 00 00 b8 20 00 00 00 c3
82        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[16u](n256,16u)             | 0f 1f 44 00 00 b8 10 00 00 00 c3
83        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[16i](n256,16i)             | 0f 1f 44 00 00 b8 10 00 00 00 c3
84        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32u](n256,32u)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
85        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32i](n256,32i)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
86        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64u](n256,64u)             | 0f 1f 44 00 00 b8 04 00 00 00 c3
87        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64i](n256,64i)             | 0f 1f 44 00 00 b8 04 00 00 00 c3
88        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32f](n256,32f)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
89        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64f](n256,64f)             | 0f 1f 44 00 00 b8 04 00 00 00 c3
90        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[8u](n512,8u)               | 0f 1f 44 00 00 b8 40 00 00 00 c3
91        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[8i](n512,8i)               | 0f 1f 44 00 00 b8 40 00 00 00 c3
92        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[16u](n512,16u)             | 0f 1f 44 00 00 b8 20 00 00 00 c3
93        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[16i](n512,16i)             | 0f 1f 44 00 00 b8 20 00 00 00 c3
94        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32u](n512,32u)             | 0f 1f 44 00 00 b8 10 00 00 00 c3
95        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32i](n512,32i)             | 0f 1f 44 00 00 b8 10 00 00 00 c3
96        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64u](n512,64u)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
97        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64i](n512,64i)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
98        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[32f](n512,32f)             | 0f 1f 44 00 00 b8 10 00 00 00 c3
99        | 11      | CTC_RET_ZED_SBB     | hex://intrinsics/CpuVector?vcount#vcount_g[64f](n512,64f)             | 0f 1f 44 00 00 b8 08 00 00 00 c3
100       | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[8u](n128,8u~in)              | c5 f8 77 66 90 c4 c1 7b f0 00 c5 f9 11 01 48 8b c1 c3
101       | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[8i](n128,8i~in)              | c5 f8 77 66 90 c4 c1 7b f0 00 c5 f9 11 01 48 8b c1 c3
102       | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[16u](n128,16u~in)            | c5 f8 77 66 90 c4 c1 7b f0 00 c5 f9 11 01 48 8b c1 c3
103       | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[16i](n128,16i~in)            | c5 f8 77 66 90 c4 c1 7b f0 00 c5 f9 11 01 48 8b c1 c3
104       | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[32u](n128,32u~in)            | c5 f8 77 66 90 c4 c1 7b f0 00 c5 f9 11 01 48 8b c1 c3
105       | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[32i](n128,32i~in)            | c5 f8 77 66 90 c4 c1 7b f0 00 c5 f9 11 01 48 8b c1 c3
106       | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[64u](n128,64u~in)            | c5 f8 77 66 90 c4 c1 7b f0 00 c5 f9 11 01 48 8b c1 c3
107       | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[64i](n128,64i~in)            | c5 f8 77 66 90 c4 c1 7b f0 00 c5 f9 11 01 48 8b c1 c3
108       | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[32f](n128,32f~in)            | c5 f8 77 66 90 c4 c1 78 10 00 c5 f9 11 01 48 8b c1 c3
109       | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[64f](n128,64f~in)            | c5 f8 77 66 90 c4 c1 79 10 00 c5 f9 11 01 48 8b c1 c3
110       | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[8u](n256,8u~in)              | c5 f8 77 66 90 c4 c1 7f f0 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
111       | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[8i](n256,8i~in)              | c5 f8 77 66 90 c4 c1 7f f0 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
112       | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[16u](n256,16u~in)            | c5 f8 77 66 90 c4 c1 7f f0 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
113       | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[16i](n256,16i~in)            | c5 f8 77 66 90 c4 c1 7f f0 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
114       | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[32u](n256,32u~in)            | c5 f8 77 66 90 c4 c1 7f f0 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
115       | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[32i](n256,32i~in)            | c5 f8 77 66 90 c4 c1 7f f0 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
116       | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[64u](n256,64u~in)            | c5 f8 77 66 90 c4 c1 7f f0 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
117       | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[64i](n256,64i~in)            | c5 f8 77 66 90 c4 c1 7f f0 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
118       | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[32f](n256,32f~in)            | c5 f8 77 66 90 c4 c1 7c 10 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
119       | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[64f](n256,64f~in)            | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
120       | 83      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[8u](n512,8u~in)              | 57 56 48 83 ec 48 c5 f8 77 48 8b f1 48 8d 3c 24 b9 10 00 00 00 33 c0 f3 ab 48 8b ce c4 c1 7f f0 00 c5 fd 11 44 24 20 c4 c1 7f f0 40 20 c5 fd 11 04 24 c5 fd 10 44 24 20 c5 fd 10 0c 24 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 48 5e 5f c3
121       | 83      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vload#vload_g[8i](n512,8i~in)              | 57 56 48 83 ec 48 c5 f8 77 48 8b f1 48 8d 3c 24 b9 10 00 00 00 33 c0 f3 ab 48 8b ce c4 c1 7f f0 00 c5 fd 11 44 24 20 c4 c1 7f f0 40 20 c5 fd 11 04 24 c5 fd 10 44 24 20 c5 fd 10 0c 24 c5 fd 11 01 c5 fd 11 49 20 48 8b c1 c5 f8 77 48 83 c4 48 5e 5f c3
