Sequence  | Length  | Host                          | OpId                                                        | Address         | OpName        | OpSig                                                                           | Data| Operation
0         | 67      | intrinsics/dinx               | vbitblend_(v128x8u,v128x8u,v128x8u)                         | 7ff7c83d74a0h   | vbitblend     | Vector128<byte> vbitblend(Vector128<byte> x, Vector128<byte> y, Vector128<byte> mask)| c5 f8 77 66 90 c5 f9 10 02 c5 f8 28 c8 c4 c1 79 10 10 c5 f1 ef ca c4 c1 79 10 11 c5 f1 db ca c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
11        | 39      | intrinsics/dinx               | vscalar_(n256,32u)                                          | 7ff7c83d77b0h   | vscalar       | Vector256<uint> vscalar(N256 n, uint a)                                         | c5 f8 77 66 90 c4 c1 79 6e c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
12        | 39      | intrinsics/dinx               | vscalar_(n256,64i)                                          | 7ff7c83d77e0h   | vscalar       | Vector256<long> vscalar(N256 n, long a)                                         | c5 f8 77 66 90 c4 c1 f9 6e c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
13        | 39      | intrinsics/dinx               | vscalar_(n256,64u)                                          | 7ff7c83d7810h   | vscalar       | Vector256<ulong> vscalar(N256 n, ulong a)                                       | c5 f8 77 66 90 c4 c1 f9 6e c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
14        | 35      | intrinsics/dinx               | vscalar_(n256,32f)                                          | 7ff7c83d7840h   | vscalar       | Vector256<float> vscalar(N256 n, float a)                                       | c5 f8 77 66 90 c5 fd 11 11 48 8b c1 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
15        | 35      | intrinsics/dinx               | vscalar_(n256,64f)                                          | 7ff7c83d7870h   | vscalar       | Vector256<double> vscalar(N256 n, double a)                                     | c5 f8 77 66 90 c5 fd 11 11 48 8b c1 c5 f8 77 c3 cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
16        | 1208    | intrinsics/dinx               | vbfly_(n1,v128x8u)                                          | 7ff7c83d78a0h   | vbfly         | Vector128<byte> vbfly(N1 n, Vector128<byte> x)                                  | 48 83 ec 18 c5 f8 77 c7 44 24 14 66 00 00 00 48 8d 44 24 14 c4 e2 79 78 44 24 14 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 73 f3 01 c7 44 24 10 fe 00 00 00 48 8d 44 24 10 c4 e2 79 78 64 24 10 c5 e1 db dc c5 f8 28 e2 c5 d9 73 d4 01 c7 44 24 0c 7f 00 00 00 48 8d 44 24 0c c4 e2 79 78 6c 24 0c c5 d9 db e5 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 18 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 e8 eb dc e8 5e 5e 00 00 20 fd 3c c8 f7 7f 00 00 e8 db dc e8 5e 5e 00 00 80 fd 3c c8 f7 7f 00 00 e8 cb dc e8 5e 5e 00 00 e0 fd 3c c8 f7 7f 00 00 e8 bb dc e8 5e 5e 00 00 40 fe 3c c8 f7 7f 00 00 e8 ab dc e8 5e 5e 00 00 a0 fe 3c c8 f7 7f 00 00 e8 9b dc e8 5e 5e 00 00 00 ff 3c c8 f7 7f 00 00 e8 8b dc e8 5e 5e 00 00 60 ff 3c c8 f7 7f 00 00 e8 7b dc e8 5e 5e 00 00 c0 ff 3c c8 f7 7f 00 00 e8 6b dc e8 5e 5e 00 00 40 00 46 c8 f7 7f 00 00 e8 5b dc e8 5e 5e 00 00 a0 00 46 c8 f7 7f 00 00 e8 4b dc e8 5e 5e 00 00 00 01 46 c8 f7 7f 00 00 e8 3b dc e8 5e 5e 00 00 60 01 46 c8 f7 7f 00 00 e8 2b dc e8 5e 5e 00 00 c0 01 46 c8 f7 7f 00 00 e8 1b dc e8 5e 5e 00 00 20 02 46 c8 f7 7f 00 00 e8 0b dc e8 5e 5e 00 00 80 02 46 c8 f7 7f 00 00 e8 fb db e8 5e 5e 00 00 e0 02 46 c8 f7 7f 00 00 e8 eb db e8 5e 5e 00 00 40 03 46 c8 f7 7f 00 00 e8 db db e8 5e 5e 00 00 a0 03 46 c8 f7 7f 00 00 e8 cb db e8 5e 5e 00 00 00 04 46 c8 f7 7f 00 00 e8 bb db e8 5e 5e 00 00 60 04 46 c8 f7 7f 00 00 e8 ab db e8 5e 5e 00 00 c0 04 46 c8 f7 7f 00 00 e8 9b db e8 5e 5e 00 00 20 05 46 c8 f7 7f 00 00 e8 8b db e8 5e 5e 00 00 80 05 46 c8 f7 7f 00 00 e8 7b db e8 5e 5e 00 00 e0 05 46 c8 f7 7f 00 00 e8 6b db e8 5e 5e 00 00 40 06 46 c8 f7 7f 00 00 e8 5b db e8 5e 5e 00 00 a0 06 46 c8 f7 7f 00 00 e8 4b db e8 5e 5e 00 00 00 07 46 c8 f7 7f 00 00 e8 3b db e8 5e 5e 00 00 60 07 46 c8 f7 7f 00 00 e8 2b db e8 5e 5e 00 00 c0 07 46 c8 f7 7f 00 00 e8 1b db e8 5e 5e 00 00 20 08 46 c8 f7 7f 00 00 e8 0b db e8 5e 5e 00 00 80 08 46 c8 f7 7f 00 00 e8 fb da e8 5e 5e 00 00 e0 08 46 c8 f7 7f 00 00 e8 eb da e8 5e 5e 00 00 40 09 46 c8 f7 7f 00 00 e8 db da e8 5e 5e 00 00 a0 09 46 c8 f7 7f 00 00 e8 cb da e8 5e 5e 00 00 00 0a 46 c8 f7 7f 00 00 e8 bb da e8 5e 5e 00 00 60 0a 46 c8 f7 7f 00 00 e8 ab da e8 5e 5e 00 00 c0 0a 46 c8 f7 7f 00 00 e8 9b da e8 5e 5e 00 00 20 0b 46 c8 f7 7f 00 00 e8 8b da e8 5e 5e 00 00 80 0b 46 c8 f7 7f 00 00 e8 7b da e8 5e 5e 00 00 e0 0b 46 c8 f7 7f 00 00 e8 6b da e8 5e 5e 00 00 40 0c 46 c8 f7 7f 00 00 e8 5b da e8 5e 5e 00 00 a0 0c 46 c8 f7 7f 00 00 e8 4b da e8 5e 5e 00 00 00 0d 46 c8 f7 7f 00 00 e8 3b da e8 5e 5e 00 00 60 0d 46 c8 f7 7f 00 00 e8 2b da e8 5e 5e 00 00 c0 0d 46 c8 f7 7f 00 00 e8 1b da e8 5e 5e 00 00 20 0e 46 c8 f7 7f 00 00 e8 0b da e8 5e 5e 00 00 80 0e 46 c8 f7 7f 00 00 e8 fb d9 e8 5e 5e 00 00 e0 0e 46 c8 f7 7f 00 00 e8 eb d9 e8 5e 5e 00 00 40 0f 46 c8 f7 7f 00 00 e8 db d9 e8 5e 5e 00 00 a0 0f 46 c8 f7 7f 00 00 e8 cb d9 e8 5e 5e 00 00 00 10 46 c8 f7 7f 00 00 e8 bb d9 e8 5e 5e 00 00 60 10 46 c8 f7 7f 00 00 e8 ab d9 e8 5e 5e 00 00 c0 10 46 c8 f7 7f 00 00 e8 9b d9 e8 5e 5e 00 00 20 11 46 c8 f7 7f 00 00 e8 8b d9 e8 5e 5e 00 00 80 11 46 c8 f7 7f 00 00 e8 7b d9 e8 5e 5e 00 00 e0 11 46 c8 f7 7f 00 00 e8 6b d9 e8 5e 5e 00 00 40 12 46 c8 f7 7f 00 00 e8 5b d9 e8 5e 5e 00 00 a0 12 46 c8 f7 7f 00 00 e8 4b d9 e8 5e 5e 00 00 00 13 46 c8 f7 7f 00 00 e8 3b d9 e8 5e 5e 00 00 60 13 46 c8 f7 7f 00 00 e8 2b d9 e8 5e 5e 00 00 c0 13 46 c8 f7 7f 00 00 e8 1b d9 e8 5e 5e 00 00 20 14 46 c8 f7 7f 00 00 e8 0b d9 e8 5e 5e 00 00 80 14 46 c8 f7 7f 00 00 e8 fb d8 e8 5e 5e 00 00 e0 14 46 c8 f7 7f 00 00 00 00 00 00 00 00 00 00
17        | 119     | intrinsics/dinx               | vbfly_(n1,v128x16u)                                         | 7ff7c83d7d60h   | vbfly         | Vector128<ushort> vbfly(N1 n, Vector128<ushort> x)                              | 50 c5 f8 77 90 c7 44 24 04 66 66 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 71 f3 01 c5 f8 28 e2 c5 d9 71 d4 01 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
18        | 119     | intrinsics/dinx               | vbfly_(n1,v128x32u)                                         | 7ff7c83d7de0h   | vbfly         | Vector128<uint> vbfly(N1 n, Vector128<uint> x)                                  | 50 c5 f8 77 90 c7 44 24 04 66 66 66 66 48 8d 44 24 04 c4 e2 79 58 44 24 04 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 72 f3 01 c5 f8 28 e2 c5 d9 72 d4 01 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
19        | 423     | intrinsics/dinx               | vbfly_(n1,v128x64u)                                         | 7ff7c83d7e60h   | vbfly         | Vector128<ulong> vbfly(N1 n, Vector128<ulong> x)                                | 50 c5 f8 77 90 48 b8 66 66 66 66 66 66 66 66 48 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 73 f3 01 c5 f8 28 e2 c5 d9 73 d4 01 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 f0 0e 45 c8 f7 7f 00 00 48 83 ec 18 c5 f8 77 c7 44 24 14 3c 00 00 00 48 8d 44 24 14 c4 e2 79 78 44 24 14 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 73 f3 02 c7 44 24 10 fc 00 00 00 48 8d 44 24 10 c4 e2 79 78 64 24 10 c5 e1 db dc c5 f8 28 e2 c5 d9 73 d4 02 c7 44 24 0c 3f 00 00 00 48 8d 44 24 0c c4 e2 79 78 6c 24 0c c5 d9 db e5 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 18 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 48 0f 45 c8 f7 7f 00 00 50 c5 f8 77 90 c7 44 24 04 3c 3c 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 71 f3 02 c5 f8 28 e2 c5 d9 71 d4 02 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
20        | 295     | intrinsics/dinx               | vbfly_(n2,v128x8u)                                          | 7ff7c83d7ee0h   | vbfly         | Vector128<byte> vbfly(N2 n, Vector128<byte> x)                                  | 48 83 ec 18 c5 f8 77 c7 44 24 14 3c 00 00 00 48 8d 44 24 14 c4 e2 79 78 44 24 14 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 73 f3 02 c7 44 24 10 fc 00 00 00 48 8d 44 24 10 c4 e2 79 78 64 24 10 c5 e1 db dc c5 f8 28 e2 c5 d9 73 d4 02 c7 44 24 0c 3f 00 00 00 48 8d 44 24 0c c4 e2 79 78 6c 24 0c c5 d9 db e5 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 18 c3 cc cc cc cc cc cc cc cc cc cc cc cc cc cc 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 48 0f 45 c8 f7 7f 00 00 50 c5 f8 77 90 c7 44 24 04 3c 3c 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 71 f3 02 c5 f8 28 e2 c5 d9 71 d4 02 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
21        | 119     | intrinsics/dinx               | vbfly_(n2,v128x16u)                                         | 7ff7c83d7f90h   | vbfly         | Vector128<ushort> vbfly(N2 n, Vector128<ushort> x)                              | 50 c5 f8 77 90 c7 44 24 04 3c 3c 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 71 f3 02 c5 f8 28 e2 c5 d9 71 d4 02 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
22        | 119     | intrinsics/dinx               | vbfly_(n2,v128x32u)                                         | 7ff7c83d8010h   | vbfly         | Vector128<uint> vbfly(N2 n, Vector128<uint> x)                                  | 50 c5 f8 77 90 c7 44 24 04 3c 3c 3c 3c 48 8d 44 24 04 c4 e2 79 58 44 24 04 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 72 f3 02 c5 f8 28 e2 c5 d9 72 d4 02 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
23        | 247     | intrinsics/dinx               | vbfly_(n2,v128x64u)                                         | 7ff7c83d8090h   | vbfly         | Vector128<ulong> vbfly(N2 n, Vector128<ulong> x)                                | 50 c5 f8 77 90 48 b8 3c 3c 3c 3c 3c 3c 3c 3c 48 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 73 f3 02 c5 f8 28 e2 c5 d9 73 d4 02 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 50 10 45 c8 f7 7f 00 00 50 c5 f8 77 90 c7 44 24 04 f0 0f 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 71 f3 04 c5 f8 28 e2 c5 d9 71 d4 04 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
24        | 119     | intrinsics/dinx               | vbfly_(n4,v128x16u)                                         | 7ff7c83d8110h   | vbfly         | Vector128<ushort> vbfly(N4 n, Vector128<ushort> x)                              | 50 c5 f8 77 90 c7 44 24 04 f0 0f 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 71 f3 04 c5 f8 28 e2 c5 d9 71 d4 04 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
25        | 119     | intrinsics/dinx               | vbfly_(n4,v128x32u)                                         | 7ff7c83d8190h   | vbfly         | Vector128<uint> vbfly(N4 n, Vector128<uint> x)                                  | 50 c5 f8 77 90 c7 44 24 04 f0 0f f0 0f 48 8d 44 24 04 c4 e2 79 58 44 24 04 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 72 f3 04 c5 f8 28 e2 c5 d9 72 d4 04 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
26        | 247     | intrinsics/dinx               | vbfly_(n4,v128x64u)                                         | 7ff7c83d8210h   | vbfly         | Vector128<ulong> vbfly(N4 n, Vector128<ulong> x)                                | 50 c5 f8 77 90 48 b8 f0 0f f0 0f f0 0f f0 0f 48 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 73 f3 04 c5 f8 28 e2 c5 d9 73 d4 04 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 58 11 45 c8 f7 7f 00 00 50 c5 f8 77 90 c7 44 24 04 00 ff ff 00 48 8d 44 24 04 c4 e2 79 58 44 24 04 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 72 f3 08 c5 f8 28 e2 c5 d9 72 d4 08 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
27        | 119     | intrinsics/dinx               | vbfly_(n8,v128x32u)                                         | 7ff7c83d8290h   | vbfly         | Vector128<uint> vbfly(N8 n, Vector128<uint> x)                                  | 50 c5 f8 77 90 c7 44 24 04 00 ff ff 00 48 8d 44 24 04 c4 e2 79 58 44 24 04 c4 c1 79 10 08 c5 f8 28 d1 c5 f8 28 d8 c5 e9 db d3 c5 f8 28 da c5 e1 72 f3 08 c5 f8 28 e2 c5 d9 72 d4 08 c5 e1 ef dc c5 e9 ef d3 c5 e9 db c0 c5 f9 ef c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc cc cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
