Sequence  | Length  | Host                          | OpId                                                        | Address         | OpName        | OpSig                                                                           | Data| Operation
0         | 67      | intrinsics/dinxfp             | takemask_(v128x64f)                                         | 7ff7c859ccf0h   | takemask      | int takemask(Vector128<double> src)                                             | c5 f8 77 66 90 c5 f9 10 01 c5 f9 50 c0 c3 cc cc 19 00 00 00 40 00 00 00 18 d1 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fc 50 c0 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
13        | 135     | intrinsics/dinxfp             | vand_(v256x32f,v256x32f)                                    | 7ff7c859cf50h   | vand          | Vector256<float> vand(Vector256<float> x, Vector256<float> y)                   | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 58 d6 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 c8 d6 7a c8 f7 7f 00 00 c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 55 02 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
14        | 87      | intrinsics/dinxfp             | vand_(v256x64f,v256x64f)                                    | 7ff7c859cf80h   | vand          | Vector256<double> vand(Vector256<double> x, Vector256<double> y)                | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 c8 d6 7a c8 f7 7f 00 00 c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 55 02 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
15        | 39      | intrinsics/dinxfp             | vandnot_(v128x32f,v128x32f)                                 | 7ff7c859cfb0h   | vandnot       | Vector128<float> vandnot(Vector128<float> x, Vector128<float> y)                | c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 55 02 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
16        | 39      | intrinsics/dinxfp             | vandnot_(v128x64f,v128x64f)                                 | 7ff7c859cfe0h   | vandnot       | Vector128<double> vandnot(Vector128<double> x, Vector128<double> y)             | c5 f8 77 66 90 c4 c1 79 10 00 c5 f9 55 02 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
17        | 147     | intrinsics/dinxfp             | vandnot_(v256x32f,v256x32f)                                 | 7ff7c859d010h   | vandnot       | Vector256<float> vandnot(Vector256<float> x, Vector256<float> y)                | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fc 55 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 18 d8 7a c8 f7 7f 00 00 c5 f8 77 66 90 c4 c1 7d 10 00 c5 fd 55 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 70 d8 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f8 c2 c1 00 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
18        | 99      | intrinsics/dinxfp             | vandnot_(v256x64f,v256x64f)                                 | 7ff7c859d040h   | vandnot       | Vector256<double> vandnot(Vector256<double> x, Vector256<double> y)             | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fd 55 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 70 d8 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f8 c2 c1 00 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
19        | 51      | intrinsics/dinxfp             | vxor1_(v128x32f)                                            | 7ff7c859d070h   | vxor1         | Vector128<float> vxor1(Vector128<float> x)                                      | c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f8 c2 c1 00 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
20        | 51      | intrinsics/dinxfp             | vxor1_(v128x64f)                                            | 7ff7c859d0b0h   | vxor1         | Vector128<double> vxor1(Vector128<double> x)                                    | c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f9 c2 c1 00 c5 f9 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
21        | 55      | intrinsics/dinxfp             | vxor1_(v256x32f)                                            | 7ff7c859d0f0h   | vxor1         | Vector256<float> vxor1(Vector256<float> x)                                      | c5 f8 77 66 90 c5 fc 57 c0 c5 f4 57 c9 c5 fc c2 c1 00 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
22        | 55      | intrinsics/dinxfp             | vxor1_(v256x64f)                                            | 7ff7c859d130h   | vxor1         | Vector256<double> vxor1(Vector256<double> x)                                    | c5 f8 77 66 90 c5 fc 57 c0 c5 f4 57 c9 c5 fd c2 c1 00 c5 fd 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
23        | 51      | intrinsics/dinxfp             | vxnor_(v128x32f,v128x32f)                                   | 7ff7c859d170h   | vxnor         | Vector128<float> vxnor(Vector128<float> x, Vector128<float> y)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f8 c2 c8 00 c5 f8 57 c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
24        | 51      | intrinsics/dinxfp             | vxnor_(v128x64f,v128x64f)                                   | 7ff7c859d1b0h   | vxnor         | Vector128<double> vxnor(Vector128<double> x, Vector128<double> y)               | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 57 00 c5 f9 c2 c8 00 c5 f9 57 c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
25        | 55      | intrinsics/dinxfp             | vxnor_(v256x32f,v256x32f)                                   | 7ff7c859d1f0h   | vxnor         | Vector256<float> vxnor(Vector256<float> x, Vector256<float> y)                  | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 57 00 c5 fc c2 c8 00 c5 fc 57 c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
26        | 55      | intrinsics/dinxfp             | vxnor_(v256x64f,v256x64f)                                   | 7ff7c859d230h   | vxnor         | Vector256<double> vxnor(Vector256<double> x, Vector256<double> y)               | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd c2 c8 00 c5 fd 57 c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
27        | 147     | intrinsics/dinxfp             | vnot_(v128x32f)                                             | 7ff7c859d270h   | vnot          | Vector128<float> vnot(Vector128<float> src)                                     | c5 f8 77 66 90 c5 f9 10 02 c5 f8 c2 02 00 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 88 db 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 c2 02 00 c5 f9 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 e0 db 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc c2 02 00 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
28        | 99      | intrinsics/dinxfp             | vnot_(v128x64f)                                             | 7ff7c859d2a0h   | vnot          | Vector128<double> vnot(Vector128<double> src)                                   | c5 f8 77 66 90 c5 f9 10 02 c5 f9 c2 02 00 c5 f9 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 e0 db 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc c2 02 00 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
29        | 51      | intrinsics/dinxfp             | vnot_(v256x32f)                                             | 7ff7c859d2d0h   | vnot          | Vector256<float> vnot(Vector256<float> src)                                     | c5 f8 77 66 90 c5 fd 10 02 c5 fc c2 02 00 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
30        | 51      | intrinsics/dinxfp             | vnot_(v256x64f)                                             | 7ff7c859d310h   | vnot          | Vector256<double> vnot(Vector256<double> src)                                   | c5 f8 77 66 90 c5 fd 10 02 c5 fd c2 02 00 c5 fd 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
31        | 39      | intrinsics/dinxfp             | vxor_(v128x32f,v128x32f)                                    | 7ff7c859d350h   | vxor          | Vector128<float> vxor(Vector128<float> lhs, Vector128<float> rhs)               | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
32        | 39      | intrinsics/dinxfp             | vxor_(v128x64f,v128x64f)                                    | 7ff7c859d380h   | vxor          | Vector128<double> vxor(Vector128<double> lhs, Vector128<double> rhs)            | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
33        | 135     | intrinsics/dinxfp             | vxor_(v256x32f,v256x32f)                                    | 7ff7c859d3b0h   | vxor          | Vector256<float> vxor(Vector256<float> lhs, Vector256<float> rhs)               | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 98 dd 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 f0 dd 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
34        | 87      | intrinsics/dinxfp             | vxor_(v256x64f,v256x64f)                                    | 7ff7c859d3e0h   | vxor          | Vector256<double> vxor(Vector256<double> lhs, Vector256<double> rhs)            | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 f0 dd 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
35        | 39      | intrinsics/dinxfp             | vxor_(v128x32f~in,v128x32f~in)                              | 7ff7c859d410h   | vxor          | Vector128<float> vxor(in Vector128<float> x, in Vector128<float> y)             | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
36        | 39      | intrinsics/dinxfp             | vxor_(v128x64f~in,v128x64f~in)                              | 7ff7c859d440h   | vxor          | Vector128<double> vxor(in Vector128<double> x, in Vector128<double> y)          | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
37        | 135     | intrinsics/dinxfp             | vxor_(v256x32f~in,v256x32f~in)                              | 7ff7c859d470h   | vxor          | Vector256<float> vxor(in Vector256<float> x, in Vector256<float> y)             | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 f8 de 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 50 df 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 56 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
38        | 87      | intrinsics/dinxfp             | vxor_(v256x64f~in,v256x64f~in)                              | 7ff7c859d4a0h   | vxor          | Vector256<double> vxor(in Vector256<double> x, in Vector256<double> y)          | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 50 df 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 56 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
39        | 39      | intrinsics/dinxfp             | vor_(v128x32f,v128x32f)                                     | 7ff7c859d4d0h   | vor           | Vector128<float> vor(Vector128<float> x, Vector128<float> y)                    | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 56 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
40        | 39      | intrinsics/dinxfp             | vor_(v128x64f,v128x64f)                                     | 7ff7c859d500h   | vor           | Vector128<double> vor(Vector128<double> x, Vector128<double> y)                 | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 56 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
41        | 147     | intrinsics/dinxfp             | vor_(v256x32f,v256x32f)                                     | 7ff7c859d530h   | vor           | Vector256<float> vor(Vector256<float> x, Vector256<float> y)                    | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 56 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 58 e0 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 56 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 b0 e0 7a c8 f7 7f 00 00 c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 c2 c8 00 c5 f8 57 c1 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
42        | 99      | intrinsics/dinxfp             | vor_(v256x64f,v256x64f)                                     | 7ff7c859d560h   | vor           | Vector256<double> vor(Vector256<double> x, Vector256<double> y)                 | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 56 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 b0 e0 7a c8 f7 7f 00 00 c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 c2 c8 00 c5 f8 57 c1 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
43        | 51      | intrinsics/dinxfp             | vxornot_(v128x32f,v128x32f)                                 | 7ff7c859d590h   | vxornot       | Vector128<float> vxornot(Vector128<float> x, Vector128<float> y)                | c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 c2 c8 00 c5 f8 57 c1 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
44        | 51      | intrinsics/dinxfp             | vxornot_(v128x64f,v128x64f)                                 | 7ff7c859d5d0h   | vxornot       | Vector128<double> vxornot(Vector128<double> x, Vector128<double> y)             | c5 f8 77 66 90 c4 c1 79 10 00 c5 f9 c2 c8 00 c5 f9 57 c1 c5 f9 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
45        | 55      | intrinsics/dinxfp             | vxornot_(v256x32f,v256x32f)                                 | 7ff7c859d610h   | vxornot       | Vector256<float> vxornot(Vector256<float> x, Vector256<float> y)                | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fc c2 c8 00 c5 fc 57 c1 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
46        | 55      | intrinsics/dinxfp             | vxornot_(v256x64f,v256x64f)                                 | 7ff7c859d650h   | vxornot       | Vector256<double> vxornot(Vector256<double> x, Vector256<double> y)             | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fd c2 c8 00 c5 fd 57 c1 c5 fd 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
