Sequence  | Address         | Length  | Host                          | OpId                                                        | OpName        | OpSig                                                                           | Data
10        | 7ff7c859cec0h   | 87      | intrinsics/dinxfp             | vunpacklo_(v256x64f,v256x64f)                               | vunpacklo     | Vector256<double> vunpacklo(Vector256<double> x, Vector256<double> y)           | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 14 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 50 d5 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 54 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
11        | 7ff7c859cef0h   | 39      | intrinsics/dinxfp             | vand_(v128x32f,v128x32f)                                    | vand          | Vector128<float> vand(Vector128<float> x, Vector128<float> y)                   | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 54 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
12        | 7ff7c859cf20h   | 39      | intrinsics/dinxfp             | vand_(v128x64f,v128x64f)                                    | vand          | Vector128<double> vand(Vector128<double> x, Vector128<double> y)                | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 54 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
13        | 7ff7c859cf50h   | 135     | intrinsics/dinxfp             | vand_(v256x32f,v256x32f)                                    | vand          | Vector256<float> vand(Vector256<float> x, Vector256<float> y)                   | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 58 d6 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 c8 d6 7a c8 f7 7f 00 00 c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 55 02 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
14        | 7ff7c859cf80h   | 87      | intrinsics/dinxfp             | vand_(v256x64f,v256x64f)                                    | vand          | Vector256<double> vand(Vector256<double> x, Vector256<double> y)                | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 c8 d6 7a c8 f7 7f 00 00 c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 55 02 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
15        | 7ff7c859cfb0h   | 39      | intrinsics/dinxfp             | vandnot_(v128x32f,v128x32f)                                 | vandnot       | Vector128<float> vandnot(Vector128<float> x, Vector128<float> y)                | c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 55 02 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
16        | 7ff7c859cfe0h   | 39      | intrinsics/dinxfp             | vandnot_(v128x64f,v128x64f)                                 | vandnot       | Vector128<double> vandnot(Vector128<double> x, Vector128<double> y)             | c5 f8 77 66 90 c4 c1 79 10 00 c5 f9 55 02 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
17        | 7ff7c859d010h   | 147     | intrinsics/dinxfp             | vandnot_(v256x32f,v256x32f)                                 | vandnot       | Vector256<float> vandnot(Vector256<float> x, Vector256<float> y)                | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fc 55 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 18 d8 7a c8 f7 7f 00 00 c5 f8 77 66 90 c4 c1 7d 10 00 c5 fd 55 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 70 d8 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f8 c2 c1 00 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
18        | 7ff7c859d040h   | 99      | intrinsics/dinxfp             | vandnot_(v256x64f,v256x64f)                                 | vandnot       | Vector256<double> vandnot(Vector256<double> x, Vector256<double> y)             | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fd 55 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 70 d8 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f8 c2 c1 00 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
19        | 7ff7c859d070h   | 51      | intrinsics/dinxfp             | vxor1_(v128x32f)                                            | vxor1         | Vector128<float> vxor1(Vector128<float> x)                                      | c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f8 c2 c1 00 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
20        | 7ff7c859d0b0h   | 51      | intrinsics/dinxfp             | vxor1_(v128x64f)                                            | vxor1         | Vector128<double> vxor1(Vector128<double> x)                                    | c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f9 c2 c1 00 c5 f9 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
21        | 7ff7c859d0f0h   | 55      | intrinsics/dinxfp             | vxor1_(v256x32f)                                            | vxor1         | Vector256<float> vxor1(Vector256<float> x)                                      | c5 f8 77 66 90 c5 fc 57 c0 c5 f4 57 c9 c5 fc c2 c1 00 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
22        | 7ff7c859d130h   | 55      | intrinsics/dinxfp             | vxor1_(v256x64f)                                            | vxor1         | Vector256<double> vxor1(Vector256<double> x)                                    | c5 f8 77 66 90 c5 fc 57 c0 c5 f4 57 c9 c5 fd c2 c1 00 c5 fd 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
23        | 7ff7c859d170h   | 51      | intrinsics/dinxfp             | vxnor_(v128x32f,v128x32f)                                   | vxnor         | Vector128<float> vxnor(Vector128<float> x, Vector128<float> y)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f8 c2 c8 00 c5 f8 57 c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
24        | 7ff7c859d1b0h   | 51      | intrinsics/dinxfp             | vxnor_(v128x64f,v128x64f)                                   | vxnor         | Vector128<double> vxnor(Vector128<double> x, Vector128<double> y)               | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 57 00 c5 f9 c2 c8 00 c5 f9 57 c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
25        | 7ff7c859d1f0h   | 55      | intrinsics/dinxfp             | vxnor_(v256x32f,v256x32f)                                   | vxnor         | Vector256<float> vxnor(Vector256<float> x, Vector256<float> y)                  | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 57 00 c5 fc c2 c8 00 c5 fc 57 c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
26        | 7ff7c859d230h   | 55      | intrinsics/dinxfp             | vxnor_(v256x64f,v256x64f)                                   | vxnor         | Vector256<double> vxnor(Vector256<double> x, Vector256<double> y)               | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd c2 c8 00 c5 fd 57 c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
27        | 7ff7c859d270h   | 147     | intrinsics/dinxfp             | vnot_(v128x32f)                                             | vnot          | Vector128<float> vnot(Vector128<float> src)                                     | c5 f8 77 66 90 c5 f9 10 02 c5 f8 c2 02 00 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 88 db 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 c2 02 00 c5 f9 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 e0 db 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc c2 02 00 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
28        | 7ff7c859d2a0h   | 99      | intrinsics/dinxfp             | vnot_(v128x64f)                                             | vnot          | Vector128<double> vnot(Vector128<double> src)                                   | c5 f8 77 66 90 c5 f9 10 02 c5 f9 c2 02 00 c5 f9 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 e0 db 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc c2 02 00 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
29        | 7ff7c859d2d0h   | 51      | intrinsics/dinxfp             | vnot_(v256x32f)                                             | vnot          | Vector256<float> vnot(Vector256<float> src)                                     | c5 f8 77 66 90 c5 fd 10 02 c5 fc c2 02 00 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
30        | 7ff7c859d310h   | 51      | intrinsics/dinxfp             | vnot_(v256x64f)                                             | vnot          | Vector256<double> vnot(Vector256<double> src)                                   | c5 f8 77 66 90 c5 fd 10 02 c5 fd c2 02 00 c5 fd 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
31        | 7ff7c859d350h   | 39      | intrinsics/dinxfp             | vxor_(v128x32f,v128x32f)                                    | vxor          | Vector128<float> vxor(Vector128<float> lhs, Vector128<float> rhs)               | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
32        | 7ff7c859d380h   | 39      | intrinsics/dinxfp             | vxor_(v128x64f,v128x64f)                                    | vxor          | Vector128<double> vxor(Vector128<double> lhs, Vector128<double> rhs)            | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
33        | 7ff7c859d3b0h   | 135     | intrinsics/dinxfp             | vxor_(v256x32f,v256x32f)                                    | vxor          | Vector256<float> vxor(Vector256<float> lhs, Vector256<float> rhs)               | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 98 dd 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 f0 dd 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
34        | 7ff7c859d3e0h   | 87      | intrinsics/dinxfp             | vxor_(v256x64f,v256x64f)                                    | vxor          | Vector256<double> vxor(Vector256<double> lhs, Vector256<double> rhs)            | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 f0 dd 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
35        | 7ff7c859d410h   | 39      | intrinsics/dinxfp             | vxor_(v128x32f~in,v128x32f~in)                              | vxor          | Vector128<float> vxor(in Vector128<float> x, in Vector128<float> y)             | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
36        | 7ff7c859d440h   | 39      | intrinsics/dinxfp             | vxor_(v128x64f~in,v128x64f~in)                              | vxor          | Vector128<double> vxor(in Vector128<double> x, in Vector128<double> y)          | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 57 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
37        | 7ff7c859d470h   | 135     | intrinsics/dinxfp             | vxor_(v256x32f~in,v256x32f~in)                              | vxor          | Vector256<float> vxor(in Vector256<float> x, in Vector256<float> y)             | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 f8 de 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 50 df 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 56 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
38        | 7ff7c859d4a0h   | 87      | intrinsics/dinxfp             | vxor_(v256x64f~in,v256x64f~in)                              | vxor          | Vector256<double> vxor(in Vector256<double> x, in Vector256<double> y)          | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 50 df 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 56 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
39        | 7ff7c859d4d0h   | 39      | intrinsics/dinxfp             | vor_(v128x32f,v128x32f)                                     | vor           | Vector128<float> vor(Vector128<float> x, Vector128<float> y)                    | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 56 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
40        | 7ff7c859d500h   | 39      | intrinsics/dinxfp             | vor_(v128x64f,v128x64f)                                     | vor           | Vector128<double> vor(Vector128<double> x, Vector128<double> y)                 | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 56 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
41        | 7ff7c859d530h   | 147     | intrinsics/dinxfp             | vor_(v256x32f,v256x32f)                                     | vor           | Vector256<float> vor(Vector256<float> x, Vector256<float> y)                    | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 56 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 58 e0 7a c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 56 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 b0 e0 7a c8 f7 7f 00 00 c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 c2 c8 00 c5 f8 57 c1 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
42        | 7ff7c859d560h   | 99      | intrinsics/dinxfp             | vor_(v256x64f,v256x64f)                                     | vor           | Vector256<double> vor(Vector256<double> x, Vector256<double> y)                 | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 56 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 b0 e0 7a c8 f7 7f 00 00 c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 c2 c8 00 c5 f8 57 c1 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
43        | 7ff7c859d590h   | 51      | intrinsics/dinxfp             | vxornot_(v128x32f,v128x32f)                                 | vxornot       | Vector128<float> vxornot(Vector128<float> x, Vector128<float> y)                | c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 c2 c8 00 c5 f8 57 c1 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
44        | 7ff7c859d5d0h   | 51      | intrinsics/dinxfp             | vxornot_(v128x64f,v128x64f)                                 | vxornot       | Vector128<double> vxornot(Vector128<double> x, Vector128<double> y)             | c5 f8 77 66 90 c4 c1 79 10 00 c5 f9 c2 c8 00 c5 f9 57 c1 c5 f9 57 02 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
45        | 7ff7c859d610h   | 55      | intrinsics/dinxfp             | vxornot_(v256x32f,v256x32f)                                 | vxornot       | Vector256<float> vxornot(Vector256<float> x, Vector256<float> y)                | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fc c2 c8 00 c5 fc 57 c1 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
46        | 7ff7c859d650h   | 55      | intrinsics/dinxfp             | vxornot_(v256x64f,v256x64f)                                 | vxornot       | Vector256<double> vxornot(Vector256<double> x, Vector256<double> y)             | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fd c2 c8 00 c5 fd 57 c1 c5 fd 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
