Sequence  | Address         | Length  | Host                          | OpId                                                        | OpName        | OpSig                                                                           | Data
10        | 7ff7c8648f50h   | 243     | root/BitConvert               | GetBytes_g[8u](uspan8u,32i,32i)                             | GetBytes      | ReadOnlySpan<byte> GetBytes<byte>(ReadOnlySpan<byte> src, int offset, int count)| 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 18 48 8b 02 49 63 d0 48 03 c2 48 89 01 44 89 49 08 48 8b c1 48 83 c4 28 c3 e8 9c c1 0f ff cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 88 ac b2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 18 48 8b 02 49 63 d0 48 03 c2 48 89 01 44 89 49 08 48 8b c1 48 83 c4 28 c3 e8 4c c1 0f ff cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 10 ad b2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 50 41 6b d1 02 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 f6 6b d4 5e e8 f1 c0 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
11        | 7ff7c8648fa0h   | 163     | root/BitConvert               | GetBytes_g[8i](uspan8i,32i,32i)                             | GetBytes      | ReadOnlySpan<byte> GetBytes<sbyte>(ReadOnlySpan<sbyte> src, int offset, int count)| 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 18 48 8b 02 49 63 d0 48 03 c2 48 89 01 44 89 49 08 48 8b c1 48 83 c4 28 c3 e8 4c c1 0f ff cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 10 ad b2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 50 41 6b d1 02 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 f6 6b d4 5e e8 f1 c0 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
12        | 7ff7c8648ff0h   | 83      | root/BitConvert               | GetBytes_g[16u](uspan16u,32i,32i)                           | GetBytes      | ReadOnlySpan<byte> GetBytes<ushort>(ReadOnlySpan<ushort> src, int offset, int count)| 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 50 41 6b d1 02 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 f6 6b d4 5e e8 f1 c0 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
13        | 7ff7c8649050h   | 83      | root/BitConvert               | GetBytes_g[16i](uspan16i,32i,32i)                           | GetBytes      | ReadOnlySpan<byte> GetBytes<short>(ReadOnlySpan<short> src, int offset, int count)| 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 50 41 6b d1 02 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 96 6b d4 5e e8 91 c0 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
14        | 7ff7c86490b0h   | 83      | root/BitConvert               | GetBytes_g[32u](uspan32u,32i,32i)                           | GetBytes      | ReadOnlySpan<byte> GetBytes<uint>(ReadOnlySpan<uint> src, int offset, int count)| 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 90 41 6b d1 04 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 36 6b d4 5e e8 31 c0 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
15        | 7ff7c8649110h   | 83      | root/BitConvert               | GetBytes_g[32i](uspan32i,32i,32i)                           | GetBytes      | ReadOnlySpan<byte> GetBytes<int>(ReadOnlySpan<int> src, int offset, int count)  | 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 90 41 6b d1 04 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 d6 6a d4 5e e8 d1 bf 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
16        | 7ff7c8649170h   | 83      | root/BitConvert               | GetBytes_g[64u](uspan64u,32i,32i)                           | GetBytes      | ReadOnlySpan<byte> GetBytes<ulong>(ReadOnlySpan<ulong> src, int offset, int count)| 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 d0 41 6b d1 08 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 76 6a d4 5e e8 71 bf 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
17        | 7ff7c86491d0h   | 83      | root/BitConvert               | GetBytes_g[64i](uspan64i,32i,32i)                           | GetBytes      | ReadOnlySpan<byte> GetBytes<long>(ReadOnlySpan<long> src, int offset, int count)| 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 d0 41 6b d1 08 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 16 6a d4 5e e8 11 bf 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
18        | 7ff7c8649230h   | 83      | root/BitConvert               | GetBytes_g[32f](uspan32f,32i,32i)                           | GetBytes      | ReadOnlySpan<byte> GetBytes<float>(ReadOnlySpan<float> src, int offset, int count)| 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 90 41 6b d1 04 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 b6 69 d4 5e e8 b1 be 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
19        | 7ff7c8649290h   | 83      | root/BitConvert               | GetBytes_g[64f](uspan64f,32i,32i)                           | GetBytes      | ReadOnlySpan<byte> GetBytes<double>(ReadOnlySpan<double> src, int offset, int count)| 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 d0 41 6b d1 08 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 56 69 d4 5e e8 51 be 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
20        | 7ff7c86492f0h   | 55      | root/BitConvert               | GetBytes_g[8u](8u~in,span8u)                                | GetBytes      | void GetBytes<byte>(in byte src, Span<byte> dst)                                | 48 83 ec 18 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 0f b6 09 88 08 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 00 00 00
21        | 7ff7c8649330h   | 520     | root/BitConvert               | GetBytes_g[8i](8i~in,span8u)                                | GetBytes      | void GetBytes<sbyte>(in sbyte src, Span<byte> dst)                              | 48 83 ec 18 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 48 0f be 09 88 08 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 00 00 00 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 e8 cb c2 c1 5e 5e 00 00 08 a1 b3 c8 f7 7f 00 00 e8 bb c2 c1 5e 5e 00 00 68 a1 b3 c8 f7 7f 00 00 e8 ab c2 c1 5e 5e 00 00 c8 a1 b3 c8 f7 7f 00 00 e8 9b c2 c1 5e 5e 00 00 28 a2 b3 c8 f7 7f 00 00 e8 8b c2 c1 5e 5e 00 00 88 a2 b3 c8 f7 7f 00 00 e8 7b c2 c1 5e 5e 00 00 e8 a2 b3 c8 f7 7f 00 00 e8 6b c2 c1 5e 5e 00 00 48 a3 b3 c8 f7 7f 00 00 e8 5b c2 c1 5e 5e 00 00 a8 a3 b3 c8 f7 7f 00 00 e8 4b c2 c1 5e 5e 00 00 08 a4 b3 c8 f7 7f 00 00 e8 3b c2 c1 5e 5e 00 00 68 a4 b3 c8 f7 7f 00 00 e8 2b c2 c1 5e 5e 00 00 c8 a4 b3 c8 f7 7f 00 00 e8 1b c2 c1 5e 5e 00 00 28 a5 b3 c8 f7 7f 00 00 e8 0b c2 c1 5e 5e 00 00 88 a5 b3 c8 f7 7f 00 00 e8 fb c1 c1 5e 5e 00 00 e8 a5 b3 c8 f7 7f 00 00 e8 eb c1 c1 5e 5e 00 00 48 a6 b3 c8 f7 7f 00 00 e8 db c1 c1 5e 5e 00 00 a8 a6 b3 c8 f7 7f 00 00 e8 cb c1 c1 5e 5e 00 00 08 a7 b3 c8 f7 7f 00 00 e8 bb c1 c1 5e 5e 00 00 68 a7 b3 c8 f7 7f 00 00 e8 ab c1 c1 5e 5e 00 00 c8 a7 b3 c8 f7 7f 00 00 e8 9b c1 c1 5e 5e 00 00 28 a8 b3 c8 f7 7f 00 00 e8 8b c1 c1 5e 5e 00 00 88 a8 b3 c8 f7 7f 00 00 e8 7b c1 c1 5e 5e 00 00 e8 a8 b3 c8 f7 7f 00 00 e8 6b c1 c1 5e 5e 00 00 48 a9 b3 c8 f7 7f 00 00 e8 5b c1 c1 5e 5e 00 00 a8 a9 b3 c8 f7 7f 00 00 e8 4b c1 c1 5e 5e 00 00 08 aa b3 c8 f7 7f 00 00 e8 3b c1 c1 5e 5e 00 00 68 aa b3 c8 f7 7f 00 00 e8 2b c1 c1 5e 5e 00 00 c8 aa b3 c8 f7 7f 00 00 e8 1b c1 c1 5e 5e 00 00 28 ab b3 c8 f7 7f 00 00 00 00 00 00 00 00 00 00
22        | 7ff7c8649780h   | 183     | root/BitConvert               | GetBytes_g[16u](16u~in,span8u)                              | GetBytes      | void GetBytes<ushort>(in ushort src, Span<byte> dst)                            | 48 83 ec 18 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 0f b7 09 66 89 08 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 00 00 00 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 d0 b4 b2 c8 f7 7f 00 00 48 83 ec 18 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 48 0f bf 09 66 89 08 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 00 00 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 58 b5 b2 c8 f7 7f 00 00 48 83 ec 18 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 8b 09 89 08 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 00 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 00 00 00
23        | 7ff7c86497c0h   | 119     | root/BitConvert               | GetBytes_g[16i](16i~in,span8u)                              | GetBytes      | void GetBytes<short>(in short src, Span<byte> dst)                              | 48 83 ec 18 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 48 0f bf 09 66 89 08 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 00 00 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 58 b5 b2 c8 f7 7f 00 00 48 83 ec 18 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 8b 09 89 08 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 00 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 00 00 00
24        | 7ff7c8649800h   | 55      | root/BitConvert               | GetBytes_g[32u](32u~in,span8u)                              | GetBytes      | void GetBytes<uint>(in uint src, Span<byte> dst)                                | 48 83 ec 18 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 8b 09 89 08 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 00 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 00 00 00
25        | 7ff7c8649840h   | 55      | root/BitConvert               | GetBytes_g[32i](32i~in,span8u)                              | GetBytes      | void GetBytes<int>(in int src, Span<byte> dst)                                  | 48 83 ec 18 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 8b 09 89 08 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 00 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 00 00 00
26        | 7ff7c8649880h   | 291     | root/BitConvert               | GetBytes_g[64u](64u~in,span8u)                              | GetBytes      | void GetBytes<ulong>(in ulong src, Span<byte> dst)                              | 48 83 ec 18 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 48 8b 09 48 89 08 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 00 00 00 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 f0 b6 b2 c8 f7 7f 00 00 48 83 ec 18 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 48 8b 09 48 89 08 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 00 00 00 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 78 b7 b2 c8 f7 7f 00 00 48 83 ec 18 c5 f8 77 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 c5 fa 10 01 c5 fa 11 00 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 cc cc 19 04 01 00 04 22 00 00 40 00 00 00 00 b8 b2 c8 f7 7f 00 00 48 83 ec 18 c5 f8 77 33 c0 48 89 44 24 08 48 8b 02 8b 52 08 c5 fb 10 01 c5 fb 11 00 48 89 44 24 08 89 54 24 10 48 83 c4 18 c3 cc cc 19 04 01 00 04 22 00 00 40 00 00 00 a0 b8 b2 c8 f7 7f 00 00 0f 1f 44 00 00 48 8b 01 48 63 d2 48 0f bf 04 10 c3 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
